text,label
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,ham
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",ham
Did u download the fring app?,ham
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,ham
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ?_ cut ur hair. ,ham
Full heat pa:-) i have applyed oil pa.,ham
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
Wa... U so efficient... Gee... Thanx...,ham
"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",ham
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",ham
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham
"Yes..but they said its IT.,",ham
What you thinked about me. First time you saw me in class.,ham
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,ham
"Loan for any purpose ??500 - ??75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
What's ur pin?,ham
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham
Okie ?_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,ham
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam
Oh did you charge camera,ham
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",ham
Dunno lei he neva say...,ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
Ya even those cookies have jelly on them,ham
Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,ham
"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",ham
Are you plans with your family set in stone ?,ham
Ok. But i finish at 6.,ham
Er yep sure. Props?,ham
"Miss ya, need ya, want ya, love ya.",ham
Im good! I have been thinking about you...,ham
"As usual..iam fine, happy &amp; doing well..:)",ham
"Congratulations! Thanks to a good friend U have WON the ??2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",spam
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,spam
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,spam
"Arms fine, how's Cardiff and uni? ",ham
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham
Please sen :)my kind advice :-)please come here and try:-),ham
Leave it. U will always be ignorant.,ham
Give one miss from that number please,ham
Hi Princess! Thank you for the pics. You are very pretty. How are you?,ham
What type of stuff do you sing?,ham
?? comin to fetch us oredi...,ham
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",spam
They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,ham
"Yo my trip got postponed, you still stocked up?",ham
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ??1.50 SP:Tyrone,spam
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,ham
If you're not in my car in an hour and a half I'm going apeshit,ham
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham
Yes there were many sweets,ham
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,ham
May b approve panalam...but it should have more posts..,ham
What time. I‰??m out until prob 3 or so,ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
I dled 3d its very imp,ham
They don't put that stuff on the roads to keep it from getting slippery over there?,ham
I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham
Hows that watch resizing,ham
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,spam
My friends use to call the same.,ham
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a ??500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam
URGENT This is our 2nd attempt to contact U. Your ??900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam
No..jst change tat only..,ham
Sounds like something that someone testing me would sayy,ham
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",ham
"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",ham
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or ??5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,spam
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
Sorry about that this is my mates phone and i didnt write it love Kate,ham
K..k..i'm also fine:)when will you complete the course?,ham
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,ham
Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,spam
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",ham
"No, but you told me you were going, before you got drunk!",ham
I thought slide is enough.,ham
I'm in a movie... Collect car oredi...,ham
Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,ham
have * good weekend.,ham
When are you guys leaving?,ham
"I'm home, my love ... If your still awake ... *loving kiss*",ham
It only does simple arithmetic not percentages.,ham
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"Aight, call me once you're close",ham
"Sir, Waiting for your mail.",ham
Wah lucky man... Then can save money... Hee...,ham
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,spam
As if i wasn't having enough trouble sleeping.,ham
It's ok i wun b angry. Msg u aft i come home tonight.,ham
Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,spam
So i could kiss and feel you next to me...,ham
"yeah, that's what I was thinking",ham
Was actually about to send you a reminder today. Have a wonderful weekend,ham
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),ham
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,ham
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,ham
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham
"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham
"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ham
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",ham
Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,ham
Be sure to check your yahoo email. We sent photos yesterday,ham
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,ham
Boo. How's things? I'm back at home and a little bored already :-(,ham
Hows the champ just leaving glasgow!,ham
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham
Oh yeah I forgot. U can only take 2 out shopping at once.,ham
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,ham
Audrie lousy autocorrect,ham
University of southern california.,ham
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam
Yes:)here tv is always available in work place..,ham
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham
Also where's the piece,ham
"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",ham
U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham
"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",ham
Please don't text me anymore. I have nothing else to say.,ham
Shall i come to get pickle,ham
So u workin overtime nigpun?,ham
Lol they don't know about my awesome phone. I could click delete right now if I want.,ham
I don't think he has spatula hands!,ham
Dear where you will be when i reach there,ham
I dunno until when... Lets go learn pilates...,ham
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham
No da if you run that it activate the full version da.,ham
Surly ill give it to you:-) while coming to review.,ham
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,ham
There bold 2  &lt;#&gt; . Is that yours,ham
True. Its easier with her here.,ham
Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,ham
Yup... Ok i go home look at the timings then i msg ?_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham
Yes we are chatting too.,ham
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",ham
I want to lick your pussy now...,ham
"Lets use it next week, princess :)",ham
Ok lar... Joking wif u oni...,ham
"URGENT!: Your Mobile No. was awarded a ??2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam
Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),ham
"Haha yeah, 2 oz is kind of a shitload",ham
"Come to me right now, Ahmad",ham
"Aight, we'll head out in a few",ham
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
If you have belive me. Come to my home.,ham
No objection. My bf not coming.,ham
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham
"Ask g or iouri, I've told the story like ten times already",ham
One of best dialogue in cute reltnship..!! \Wen i Die,ham
Bbq this sat at mine from 6ish. Ur welcome 2 come,ham
Todays Voda numbers ending with 7634 are selected to receive a ??350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,spam
Okay but i thought you were the expert,ham
"Its good, we'll find a way",ham
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,ham
How come u got nothing to do?,ham
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,ham
She doesnt need any test.,ham
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",ham
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham
Oh k.i think most of wi and nz players unsold.,ham
Try to do something dear. You read something for exams,ham
They just talking thats it de. They wont any other.,ham
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
Oh... Okie lor...We go on sat... ,ham
Just got to  &lt;#&gt;,ham
Okie...,ham
WINNER! As a valued network customer you hvae been selected to receive a ??900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,spam
GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@??1.50rcvd,spam
aathi..where are you dear..,ham
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham
Anything lor... U decide...,ham
Yup bathe liao...,ham
Well. You know what i mean. Texting,ham
"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",ham
How is it possible to teach you. And where.,ham
Ultimately tor motive tui achieve korli.,ham
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham
Thank u!,ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
"Its ok, called mom instead have fun",ham
Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,ham
Will ?_ b going to esplanade fr home?,ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",ham
Actually I decided I was too hungry so I haven't left yet :V,ham
Well I might not come then...,ham
No calls..messages..missed calls,ham
Whatsup there. Dont u want to sleep,ham
K and you're sure I don't have to have consent forms to do it :V,ham
Still chance there. If you search hard you will get it..let have a try :),ham
Cool. So how come you havent been wined and dined before?,ham
I cant pick the phone right now. Pls send a message,ham
Yup...,ham
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,ham
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham
Many times we lose our best ones bcoz we are ,ham
"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam
1 in cbe. 2 in chennai.,ham
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,ham
2 and half years i missed your friendship:-),ham
You are a winner you have been specially selected to receive ??1000 cash or a ??2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam
&lt;#&gt;  w jetton ave if you forgot,ham
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham
"Jay wants to work out first, how's 4 sound?",ham
Nothing spl..wat abt u and whr ru?,ham
Yeah do! Don‰??t stand to close tho- you‰??ll catch something!,ham
